STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,25079,Xiên2,satomember,"02,03(27)","560,000","12-01-2023 11:07:02"
﻿2,25081,Xiên2,satomember,"02,03(27)","28,000,000","12-01-2023 11:40:20"
﻿3,25082,Xiên2,satomember,"00,11(27)","28,000,000","12-01-2023 12:07:28"
﻿4,25083,Xiên2,satomember,"03,04(27)","1,120,000","12-01-2023 01:04:21"
﻿5,25084,Xiên2,satomember,"44,55(27)","560,000","12-01-2023 01:04:21"
﻿6,25090,Xiên2,satomember,"03,04(27)","1,120,000","12-01-2023 01:04:50"
﻿7,25091,Xiên2,satomember,"44,55(27)","560,000","12-01-2023 01:04:50"
﻿8,25092,Xiên2,satomember,"03,04(27)","1,120,000","12-01-2023 01:05:00"
﻿9,25093,Xiên2,satomember,"44,55(27)","560,000","12-01-2023 01:05:00"
﻿10,25094,Xiên2,satomember,"03,04(27)","1,120,000","12-01-2023 01:05:25"
﻿11,25095,Xiên2,satomember,"44,55(27)","560,000","12-01-2023 01:05:25"
﻿12,25101,Xiên2,satomember,"03,04(27)","1,120,000","12-01-2023 01:06:55"
﻿13,25102,Xiên2,satomember,"44,55(27)","560,000","12-01-2023 01:06:55"
